title,type,country,release_year,rating,duration,genre,description
Beary Tales,Movie,United States,2013,G,52 min,Children & Family Movies,A well-known wildlife photographer living alone in the Bohemian Forest finds himself playing mama bear to a pair of abandoned cubs.
Big Time Rush,TV Show,United States,2013,G,4 Seasons,Kids' TV,After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush they must adjust to their exciting new lives.
Chhota Bheem - Neeli Pahaadi,Movie,,2013,G,64 min,Children & Family Movies,Things get spooky when Bheem and his buddies travel to the border of Dholakpur known for its eerie history and rumored to be haunted.
Chhota Bheem And The Broken Amulet,Movie,India,2013,G,64 min,Children & Family Movies,When a stranger tries to steal an amulet from the palace Bheem learns the sad story behind the ornament and heads to Africa to defeat the real villain.
Chhota Bheem And The Crown of Valhalla,Movie,,2013,G,64 min,Children & Family Movies,To save the kingdom of Valhalla from invasion by Vikings Bheem is gathering his army of friends who are ready to put up a formidable fight!
Chhota Bheem and the Incan Adventure,Movie,,2013,G,65 min,Children & Family Movies,When Dholakpur’s princess is kidnapped Bheem is off to the land of the Incas to save her but he’s in for an even bigger challenge upon his arrival.
Chhota Bheem and The ShiNobi Secret,Movie,,2013,G,64 min,Children & Family Movies,After learning of a samurai village under threat by their own emperor Bheem sets off for Japan to offer his help.
Chhota Bheem aur Krishna vs Zimbara,Movie,,2013,G,64 min,Children & Family Movies,A demon of darkness is plotting world domination — but when Bheem and Krishna catch wind of his plans they’ll stop at nothing to destroy him.
Golden Time,Movie,Japan,2013,G,22 min,International Movies,In the 1980s a recently discarded television set from the 1960s refuses to accept its fate and tries to break out of the junkyard.
Jinxed,Movie,United States,2013,G,69 min,Children & Family Movies,After a century-old curse of bad luck a determined teen embarks on a journey to break her family’s generational misfortune.
Keymon and Nani in Space Adventure,Movie,,2013,G,76 min,Children & Family Movies,For Rohan and his magical pal Keymon a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!
Krish Trish and Baltiboy: Battle of Wits,Movie,,2013,G,62 min,Children & Family Movies,An artisan is cheated of his payment a lion of his throne and a brother of his inheritance in these three stories of deception and justice.
Krish Trish and Baltiboy: The Greatest Trick,Movie,,2013,G,60 min,Children & Family Movies,The consequences of trickery are explored in stories involving an inconsiderate husband two greedy courtiers and a kind man who loses everything.
LEGO: Marvel Super Heroes: Maximum Overload,Movie,United States,2013,G,22 min,Children & Family Movies,Villainous Loki is amassing an army to conquer Earth! His antics are keeping Spider-Man and S.H.I.E.L.D. busy as they tackle a host of bad guys.
Leo the Lion,Movie,United States,2013,G,78 min,Children & Family Movies,Eschewing the carnivorous ways of his fellow lions maverick Leo follows a vegetarian diet – causing the other lions to shun him.
Love Your Garden,TV Show,United Kingdom,2013,G,1 Season,British TV Shows,Famed horticulturist Alan Titchmarsh hosts this uplifting show in which he and his team travel the U.K. planting dream gardens for deserving citizens.
Magic Snowflake,Movie,France,2013,G,73 min,Children & Family Movies,Young Nicolas agrees to do Santa's work for one year. But the stress of the job threatens the boy's sense of joy – and Christmas itself.
Mega Food,TV Show,United Kingdom,2013,G,1 Season,British TV Shows,Visiting the busiest kitchens in the world this reality series focuses on large-scale food production – and the people who make it happen.
Monster High 13 Wishes,Movie,United States,2013,G,73 min,Children & Family Movies,It's a new school year at Monster High and the little sister of Clawdeen Wolf Howleen is determined to be more fangtastic than ever.
Monster High: Friday Night Frights,Movie,United States,2013,G,46 min,Children & Family Movies,In their bid to win the Skulltimate Roller Maze championship Monster High loses its star players Clawd and Deuce to injury.
Monster High: Scaris City of Frights,Movie,United States,2013,G,60 min,Children & Family Movies,When Clawdeen gets a chance to study with a top fashion designer she and her pals hop on a plane to Scaris France the city where screams come true.
Monster High: Why Do Ghouls Fall in Love?,Movie,United States,2013,G,46 min,Children & Family Movies,Draculaura's ghoulfriends have some suspicions about one of her two persistent suitors – but can they stop him before he steals her un-beating heart?
Monty Don's French Gardens,TV Show,United Kingdom,2013,G,1 Season,British TV Shows,TV personality Monty Don visits France’s most famous gardens to dig up the influence of power culture and passion on their conceptions and designs.
Motu Patlu in Wonderland,Movie,,2013,G,76 min,Children & Family Movies,When pals Motu and Patlu take a ride in their scientist friend’s newly built plane a crash-landing on a strange island leads to action and adventure.
Motu Patlu: Mission Moon,Movie,,2013,G,71 min,Children & Family Movies,An otherworldly enemy has been turning the moon’s soil into gold for his own greedy interests! Can friends Motu and Patlu stop him?
Mr. Young,TV Show,Canada,2013,G,2 Seasons,Kids' TV,After Adam graduates from college at age 14 he heads back to high school to teach science where his crush and his best friends are his students!
Ojos in d' House,TV Show,Nigeria,2013,G,1 Season,International TV Shows,After a newly rich family moves into an upper-class neighborhood they try to keep their matriarch's obsessive pursuit of social acceptance in check.
Pororo - The Little Penguin,TV Show,South Korea,2013,G,3 Seasons,Kids' TV,On a tiny island Pororo the penguin has fun adventures with his friends Eddy the fox Loopy the beaver Poby the polar bear and Crong the dinosaur.
Power Rangers: Megaforce,TV Show,United States,2013,G,1 Season,Kids' TV,When Earth is threatened by a massive alien invasion the planet's supernatural guardian calls upon five teenagers to form the ultimate defense team.
Power Rangers: Megaforce: Raising Spirits,Movie,United States,2013,G,24 min,Children & Family Movies,"On Halloween the scariest night of the year the Rangers have a strange encounter with a mysterious medium who conjures ""visions"" of monsters past."
Power Rangers: Megaforce: The Robo Knight Before Christmas,Movie,United States,2013,G,24 min,Children & Family Movies,Robo Knight learns the meaning of Christmas from a group of children when he is mistaken for a donated Christmas toy and is shipped to a foreign land.
Shrek the Musical,Movie,United States,2013,G,130 min,Children & Family Movies,The greatest fairy tale never told comes to life in this colorful song-filled Tony Award-winning Broadway production based on the hit movie.
The Haunted Hathaways,TV Show,United States,2013,G,2 Seasons,Kids' TV,Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.
Transformers Prime,TV Show,United States,2013,G,1 Season,Kids' TV,With the help of three human allies the Autobots once again protect Earth from the onslaught of the Decepticons and their leader Megatron.
Victorious,TV Show,United States,2013,G,3 Seasons,Kids' TV,When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High she struggles to fit in with the amazingly talented teens.
ViR: The Robot Boy,TV Show,,2013,G,2 Seasons,Kids' TV,Humanoid robot boy ViR lives with his inventor Dr. Prem Sahay and with his best friends is always ready to use his superpowers to save the day.
100 Things to do Before High School,Movie,United States,2014,G,44 min,Movies,Led by seventh-grader C.J. three students who have been warned about the dangers of high school decide to make the best of their middle-school years.
A Fairly Odd Summer,Movie,United States,2014,G,68 min,Children & Family Movies,In this live-action adventure the gang heads to Hawaii where Timmy learns the source of all fairy magic is in dangerous hands.
Alpha and Omega: The Legend of the Saw Tooth Cave,Movie,United States,2014,G,45 min,Children & Family Movies,When a wolf pup named Runt sneaks off to explore a mysterious cave he meets and befriends a wolf driven from her pack because she's blind.
Alphablocks,TV Show,United Kingdom,2014,G,5 Seasons,Kids' TV,The letters of the alphabet come to life in Alphaland as they read write and spell their way into an exciting world of phonic fun.
Chhota Bheem: Dus Pe Dus,Movie,,2014,G,63 min,Children & Family Movies,After a precious temple stone is stolen under his watch Bheem trains in a special martial art to prepare for a showdown with the thief.
Earth to Luna!,TV Show,Brazil,2014,G,1 Season,Kids' TV,Curious about everything and excited about science 6-year-old Luna her brother Jupiter and pet Clyde explore nature to learn about the world.
Fix It and Finish It,TV Show,United States,2014,G,3 Seasons,Reality TV,A team of skilled contractors and designers hosted by Antonio Sabato Jr. renovates houses cabins and even RVs transforming properties in one day.
Jake's Buccaneer Blast,Movie,,2014,G,22 min,Movies,Jake Izzy Cubby and Skully face off against the scheming Captain Hook in a race to find special treasures hidden all around Never Land.
Julius Jr.,TV Show,United States,2014,G,2 Seasons,Kids' TV,Paul Frank's fun artwork comes to life in this show that follows monkey Julius Jr. and his friends as they explore the world and help each other out.
Lego DC Comics: Batman Be-Leaguered,Movie,United States,2014,G,22 min,Movies,When Superman and the other Justice League superheroes start disappearing it's up to Batman to unravel the caper and save the day.
Mighty Raju Rio Calling,Movie,India,2014,G,97 min,Children & Family Movies,Mighty Raju preps for a new adventure in Rio de Janeiro where he goes toe-to-toe with rival soccer players faces capoeira fighters and more.
Mini Wolf,TV Show,France,2014,G,2 Seasons,Kids' TV,Mini-Wolf and his fun-loving pals friends are always on the look out for a new adventure – even if it includes a little bit of mischief.
